Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
73	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	35087.082672	35065.192924	45295.3	42	55	120	0.966947	0.986428	0.901735	209.986	621.998	2.05523	53	662.882324	663.261292	0.831992	0.831992	0.022569
74	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	35956.025245	35933.628438	603832	51	88	651	0.949996	0.998757	0.866584	190.363	7017.02	2.46671	66	545.638245	546.000000	0.851392	0.851392	0.0187842
75	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	36133.309076	36110.709592	617917	52	90	640	0.985622	0.99858	0.860552	207.565	6143.72	2.61615	68	532.227295	532.581238	0.949492	0.949492	0
76	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	38256.613354	38232.735325	551414	61	98	596	0.928318	0.995278	0.796252	32.2592	1888.91	3.04295	87	440.625732	440.867310	0.739614	0.739614	0.0352361
77	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	2097.794186	2096.486869	1819.63	1	1	2	0.869877	0.869877	1	12.1203	12.1203	1.39648	1	2097.497559	2098.494141	0.101158	0.101158	0.252454
78	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	6809.879215	6805.613062	246391	10	22	138	0.996048	0.999774	0.990192	107.879	1.31775	0.853736	21	325.084259	325.609344	0.753217	0.753217	0.0328472
79	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	7276.312263	7271.767832	6492.2	5	5	12	0.970278	0.970278	1	23.6064	23.6064	0.984762	5	1455.360718	1457.566406	0.787864	0.787864	0.0260249
80	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	7888.145100	7883.242046	416248	15	24	124	0.99936	0.976867	0.919766	128.492	1.22676	0.60679	15	526.553101	527.291687	0.766309	0.766309	0.0302413
81	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	8442.537079	8437.318873	717189	10	25	203	0.999154	0.962197	0.967171	229.464	2.60676	0.706587	13	650.113953	650.956665	0.765683	0.765683	0.0302413
82	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	8890.814377	8885.314142	3084.87	9	9	11	0.954992	0.954992	1	0.0372581	3.45197	2.39545	9	988.261292	989.593262	0.747446	0.747446	0.0346647
83	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	8978.696144	8973.144260	674.843	8	8	6	0.870332	0.870332	1	0.0176971	1.34818	4.52721	8	1123.158081	1123.768799	0.116416	0.116416	0.245113
84	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	9467.583672	9461.678404	104817	25	27	39	0.976043	0.975754	1	1.79824	3.17574	0.467003	26	364.915894	365.419067	0.823399	0.823399	0.0239916
